类别,名称,经度,纬度,地址,类型,省,市,区县
银行,中国工商银行(淄博分行),118.063992,36.813264,金晶大道158号,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,中国工商银行(淄博张店支行),118.063226,36.810634,体育场街道金晶大道146号,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,中国建设银行(淄博分行营业部),118.04272,36.814771,人民西路32号,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,中国银行(淄博高新支行),118.0562,36.839156,开发区火炬广场北侧(火炬大厦西),金融保险服务;银行;中国银行,山东省,淄博市,张店区
银行,中国农业银行(淄博分行营业部),118.052073,36.812763,柳泉路168号,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,中国人民银行(淄博市分行),117.991995,36.822841,心环东路8号,金融保险服务;银行;中国人民银行,山东省,淄博市,张店区
银行,中国建设银行,118.059245,36.840676,柳泉路政通路路口东北角,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,中国农业银行(淄博张店支行),118.050488,36.821167,华光路60号,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,山东张店农村商业银行(营业部),118.057487,36.832725,柳泉路256号,金融保险服务;银行;农村商业银行|购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
银行,中国银行(淄博分行),118.051486,36.815622,柳泉路49号中银大厦,金融保险服务;银行;中国银行,山东省,淄博市,张店区
银行,招商银行(淄博分行营业部),118.050056,36.814129,人民西路12号甲1号,金融保险服务;银行;招商银行,山东省,淄博市,张店区
银行,中国建设银行(淄博西城支行),117.999292,36.830662,联通路290号,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,青岛银行(淄博分行),118.005473,36.830409,联通路266号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中信银行(淄博分行),118.054694,36.823486,柳泉路230号中信大厦F1层,金融保险服务;银行;中信银行,山东省,淄博市,张店区
银行,齐商银行(高新区支行营业室),118.061078,36.85405,柳泉路121路上城名府7号楼,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,兴业银行(淄博分行),118.027963,36.84825,淄博市高新区世纪路218号医药创新中心A综合楼101、201号,金融保险服务;银行;兴业银行,山东省,淄博市,张店区
银行,招商银行(淄博高新区支行),118.045891,36.847872,鲁泰大道51号高分子创新园B座一楼东南角,金融保险服务;银行;招商银行,山东省,淄博市,张店区
银行,中国工商银行(淄博高新支行营业室),118.059253,36.84133,高新区柳泉路268号,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,威海银行(淄博分行),118.004672,36.804277,金誉花园西邻,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,交通银行(淄博分行),118.061172,36.805371,金晶大道100号,金融保险服务;银行;交通银行,山东省,淄博市,张店区
银行,中国银行(淄博北京路支行),117.994253,36.82556,北京路33号甲2号,金融保险服务;银行;中国银行,山东省,淄博市,张店区
银行,平安银行(淄博分行营业部),118.03173,36.838982,高新技术开发区中润大道1号中润华侨城综合楼,金融保险服务;银行;平安银行,山东省,淄博市,张店区
银行,中国农业发展银行(淄博市分行),118.057201,36.843841,高新区万杰路113号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国银行(淄博张店支行),118.041443,36.800945,新村西路99号东方商务F1层,金融保险服务;银行;中国银行,山东省,淄博市,张店区
银行,中国农业银行(淄博高新技术产业开发区支行营业部),118.061012,36.848084,鲁泰大道99号汇金大厦西裙楼1层,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,中国光大银行(淄博分行),118.056332,36.835226,柳泉路107号国贸大厦1层,金融保险服务;银行;中国光大银行,山东省,淄博市,张店区
银行,恒丰银行(淄博分行),118.044828,36.847881,鲁泰大道51号高分子材料创新园A座一楼,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,上海浦东发展银行(淄博分行),118.051127,36.814154,柳泉路45号甲3号,金融保险服务;银行;上海浦东发展银行,山东省,淄博市,张店区
银行,齐鲁银行淄博分行,117.993375,36.822825,北北京路29号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,招商银行(淄博西城支行),117.991785,36.817392,人民西路222号中德大厦102,金融保险服务;银行;招商银行,山东省,淄博市,张店区
银行,中国银行(淄博西五路支行),118.037363,36.835255,中润大道与西五路交汇处(荷香园办公楼1层),金融保险服务;银行;中国银行,山东省,淄博市,张店区
银行,中国工商银行(张店北京路支行),117.993467,36.820621,北京路中欧国际大厦一层11、12号,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,中国银行(淄博齐盛支行),117.996027,36.84445,北北京路77号百合花园玉兰园1号楼-3,金融保险服务;银行;中国银行,山东省,淄博市,张店区
银行,中国银行(淄博西城支行),118.025931,36.814661,人民路与世纪路交叉口富尔玛家居广场1楼,金融保险服务;银行;中国银行,山东省,淄博市,张店区
银行,中国银行(新村西路支行),118.014888,36.803372,马尚镇新村西路大学生创业园A座一层,金融保险服务;银行;中国银行,山东省,淄博市,张店区
银行,渤海银行(淄博分行),118.031609,36.822191,华光路和北西六路交汇处黄金1号公馆,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国建设银行(淄博植物园支行),118.030294,36.789618,王舍路235号,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,齐商银行(淄博支行),118.058019,36.842258,柳泉路115号金达大厦C座,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国建设银行(共青团东路支行),118.061887,36.804504,共青团东路6号甲1号,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,中信银行(淄博高新支行),118.031427,36.837882,中润大道33号,金融保险服务;银行;中信银行,山东省,淄博市,张店区
银行,兴业银行淄博柳泉路社区支行,118.056034,36.833281,柳泉路103号,金融保险服务;银行;兴业银行,山东省,淄博市,张店区
银行,中国工商银行淄博张店和平路支行,117.992025,36.799475,淄博市张店区和平路169号甲8商铺,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,齐商银行(经开区支行),118.013164,36.791468,王舍路生态环境管理服务中心1楼,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国建设银行(学府支行),118.012343,36.810248,南京路11号,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,济宁银行(淄博分行),118.011365,36.826343,南京路宏程国际广场济宁银行,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,青岛银行(淄博高新支行),118.036013,36.837675,张店区高新区中润大道39号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,齐商银行(鲁中支行营业室),118.045369,36.801369,新村西路142号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国工商银行(南京路支行),118.015295,36.830016,南京路与联通路交叉口淄博住房公积金中心办公大楼东侧,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,中国建设银行(张店支行营业室),118.048228,36.806518,共青团路95号钻石商务大厦9层西半层,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,中国农业银行(淄博湖田分理处),118.125782,36.789846,湖田镇湖光路17号,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,中国银行(淄博金晶大道支行),118.05945,36.797797,新村东路2号,金融保险服务;银行;中国银行,山东省,淄博市,张店区
银行,中国银行(淄博经济开发区支行),118.046681,36.749524,南定镇张南路13号,金融保险服务;银行;中国银行,山东省,淄博市,张店区
银行,中国建设银行(淄博南京路支行),118.014253,36.830012,联通路190号,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,中国农业银行股份有限公司淄博盛湖路支行,117.997802,36.844273,北京路与盛湖路交叉路口东北角盛湖大厦一楼,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,齐商银行(张店支行营业室),118.061823,36.808142,金晶大道130号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国工商银行(张店理工大学支行),118.006335,36.816142,人民西路石村南巷水晶街H座一层,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
